year,sst_mean
1985,27.209196
1986,27.27266
1987,27.69633
1988,27.84954
1989,27.075224
1990,27.494194
1991,27.30627
1992,27.36338
1993,27.248869
1994,27.351316
1995,27.396492
1996,27.29495
1997,27.352055
1998,27.881243
1999,27.415848
2000,27.394623
2001,27.41618
2002,27.660074
2003,27.65739
2004,27.515764
2005,27.706547
2006,27.458605
2007,27.839172
2008,27.4277
2009,27.891668
2010,27.956408
2011,27.85657
2012,27.59864
2013,27.55114
2014,27.713654
2015,27.888424
2016,27.904081
2017,28.010529
2018,27.80601
2019,28.092695
2020,28.030151
2021,27.654085
2022,27.548025
2023,28.06361
2024,28.409155
2025,27.945885
